char	index	unicode	strokes	sequence
一	0001	U+4E00	1	1
乙	0002	U+4E59	1	5
二	0003	U+4E8C	2	1;1
十	0004	U+5341	2	1;2
丁	0005	U+4E01	2	1;2
厂	0006	U+5382	2	1;3
七	0007	U+4E03	2	1;5
卜	0008	U+535C	2	2;4
八	0009	U+516B	2	3;4
人	0010	U+4EBA	2	3;4
入	0011	U+5165	2	3;4
乂	3501	U+4E42	2	3;4
儿	0012	U+513F	2	3;5
匕	0013	U+5315	2	3;5
几	0014	U+51E0	2	3;5
九	0015	U+4E5D	2	3;5
刁	0016	U+5201	2	5;1
了	0017	U+4E86	2	5;2
刀	0018	U+5200	2	5;3
力	0019	U+529B	2	5;3
乃	0020	U+4E43	2	5;3
又	0021	U+53C8	2	5;4
乜	3502	U+4E5C	2	5;5
三	0022	U+4E09	3	1;1;1
干	0023	U+5E72	3	1;1;2
亍	6501	U+4E8D	3	1;1;2
于	0024	U+4E8E	3	1;1;2
亏	0025	U+4E8F	3	1;1;5
工	0026	U+5DE5	3	1;2;1
土	0027	U+571F	3	1;2;1
士	0028	U+58EB	3	1;2;1
才	0029	U+624D	3	1;2;3
下	0030	U+4E0B	3	1;2;4
寸	0031	U+5BF8	3	1;2;4
大	0032	U+5927	3	1;3;4
丈	0033	U+4E08	3	1;3;4
兀	3503	U+5140	3	1;3;5
尢	6502	U+5C22	3	1;3;5
与	0034	U+4E0E	3	1;5;1
万	0035	U+4E07	3	1;5;3
弋	3504	U+5F0B	3	1;5;4
上	0036	U+4E0A	3	2;1;1
小	0037	U+5C0F	3	2;3;4
口	0038	U+53E3	3	2;5;1
山	0039	U+5C71	3	2;5;2
巾	0040	U+5DFE	3	2;5;2
千	0041	U+5343	3	3;1;2
乞	0042	U+4E5E	3	3;1;5
川	0043	U+5DDD	3	3;2;2
亿	0044	U+4EBF	3	3;2;5
彳	6503	U+5F73	3	3;3;2
个	0045	U+4E2A	3	3;4;2
夕	0046	U+5915	3	3;5;4
久	0047	U+4E45	3	3;5;4
么	0048	U+4E48	3	3;5;4
勺	0049	U+52FA	3	3;5;4
凡	0050	U+51E1	3	3;5;4
丸	0051	U+4E38	3	3;5;4
及	0052	U+53CA	3	3;5;4
广	0053	U+5E7F	3	4;1;3
亡	0054	U+4EA1	3	4;1;5
门	0055	U+95E8	3	4;2;5
丫	0056	U+4E2B	3	4;3;2
义	0057	U+4E49	3	4;3;4
之	0058	U+4E4B	3	4;5;4
尸	0059	U+5C38	3	5;1;3
己	0060	U+5DF1	3	5;1;5
已	0061	U+5DF2	3	5;1;5
巳	0062	U+5DF3	3	5;1;5
弓	0063	U+5F13	3	5;1;5
子	0064	U+5B50	3	5;2;1
孑	3505	U+5B51	3	5;2;1
卫	0065	U+536B	3	5;2;1
